sigEZlYCCX;eXqXSVHqJ9;mGieSjllCu;YL9MuJVmip;HpPMplBVBw;T8T3LVT2J1
NuM   L pHUvU R nc1;jn;-40;-61;-45;-2.44
FEPOKxZ8B h9KB6dB;mFRpGX2C s5 tk;13;29;-26;-3.94
Ssnj u7p2EzGJxx 2 ;juPV0 U Lr pVxbi;-25;8;-76;8.0
 xMOa  CDZn;XQ  yPNR2;-15;27;-36;-2.51
o JFOM5yYzZ  8; 4Z 8Pc1Cv ;53;57;4;2.18
F nER 0 i;Vv8Eo3le kD  D ;-93;44;-16;-9.24
oT frPfj 8;mm  u l dBhlQ ;16;63;2;6.3
BzcUf2TyJ NUFz8 ;V2 rIvifIggWyz  C ;-83;43;74;-6.09
8 m;Ds Gp7Q x9 u;1;84;25;-5.75
q0 r  ipoRCIC 32; lpplS;95;-66;-9;-2.37
qvDOpES;I cvcxiUlinqeeh58QS;16;-2;-25;-9.09
   EBRvTvC2oJUpccF  ;l7PZ1a;67;35;68;-6.47
Uatsm  a;alw2Fu;-44;70;59;1.41
X5T; lndf 2Evzz  ;-85;21;-77;-1.81
QVz  TQrklO9  sq ;7q6OC;11;-25;49;-3.46
on0jep HJB G7sQB zCB;L XFz2N6 x7AWYe;66;10;-19;-9.22
W A yd  Pzh  J8N42;Nze Ys0 U v sw4z 2;71;16;38;5.7
XGp vu;1hyT of F9 C;-34;-7;-64;-2.28
BT;XZMBn 9ZC;-7;-39;39;3.38
WaR; wOLy;80;-61;81;6.17
usERhU Xe4d; 1NfCkbwW;32;99;-94;-2.24
1;3Bm 0UD;-5;-31;-9;9.08
sPtl;l JaaRZ2RBqo5;-18;85;-79;7.54
gjP4 ItB OF3; C;-15;-30;-43;-5.11
tACp Bw OqM 7 OTFiK;p;-77;46;-87;2.63
OvKJNRyONAX JoZu ;n2fBkp;-61;100;-34;6.26
zbg KDu2K ;8QOs3rkwEi78;6;44;48;-2.06
 aV8l36J2Z; cL ehyi4 htp;29;-78;-89;-8.77
TvXXpPxWbYF;qUcK;-76;-50;-87;-5.95
HdhkHmYCu6dt Ae2;oF3Z QZmUle HyEjRGA;-35;79;-7;0.19
s7gUM 71bL5 ;V3;-22;-75;-38;-8.32
IQaRAQ;7wddm in;0;10;-39;6.12
 RR41 x;W36n TV;82;-69;1;4.45
2OHG FWC dW DhQed;lFchb5Ke 4;-53;14;-50;-2.83
2;gmo dcuD5jfG;3;38;78;0.1
E j 1MN bed  ;p0VXE50ELWywGPira;-9;-73;-82;9.34
gWD50zX0FKXpaN;bc;-60;41;20;1.6
JjeM  IXiIJv;MH 471;39;-27;-8;-5.68
CdC2h 8 CN q;w;51;66;-56;9.32
 ;R3iP xSfKN;-56;-42;44;-4.0
B QP92IN wF H4Qhb   ;GM9CElzmd DrA5w;-39;1;59;6.25
zsaqhuN; 45 f7;52;57;81;8.05
  XqFA;L 3 D;76;53;-36;-3.62
E1Z4 ; JphPRycby Wx0;-41;95;-57;-0.42
RmKoXICOd;GAYlZRW;90;-47;-1;-8.83
 yGWkc 4; 2w6hT WW 4 dmbx ;68;-52;50;6.23
D fvOMxlDf; C5K26y4Jfzl;-13;60;-14;1.18
D oS6JM9n8w LNWv mb; hpu 1 D2rZAkx ZS Ge;-34;11;-26;-3.13
B2vCS ZGP 1 cY;Wz R;23;27;63;-3.46
lsW3XAIQdJ4hqmHN  k;ByX zU8;83;12;-61;-5.46
pLdQXuz1Zlr;peNIFHR2Y b  V;-19;-100;-13;4.94
 XbDl9LaM;e  v IInz77i  KBJ;-19;-86;20;3.48
 bW X7m lHzqm1;kGqBTjQ c;-12;70;-34;9.1
8PfKY0;NX 0ws0 1k  TlSGz;-3;84;17;-2.16
23M S; w 5Hs;78;-77;-39;5.67
Yu2KmOC;  BnkeUbFOz;-49;-99;-23;5.25
 B8FinX;  gp7T  A Xn2 Y;-60;-89;-36;-7.19
f 9 LZ2dj;E mEUryetmifTNA;90;31;31;-5.59
U7LLyxvG;7 a JHG7I6 PGJs;-29;-73;33;9.16
s6S;  b4dr EW5Q  ES;58;-78;-27;-5.15
Ii6HmaaxWNoOgm; QeFVOw8;84;12;52;-2.37
B1T 4c  zvo ;PrNk A rEol;-69;53;85;0.75
24 GzN lE;F VY5TkH8kS5XBkv;-3;-66;-19;-1.02
 vf;co;-27;-2;68;-3.44
T2i8RJ P8Z; ;31;-51;59;-9.61
KKO 662U2KYUrLRIHjb;r7yrkErJ  77BN AIw;-52;41;-51;2.65
6POam0 nB ZPJ;NNqVHt xb;-98;49;-52;-2.94
qQ;eCA J eZ;55;1;8;9.56
RVoI0k;0BtOM90;17;-65;30;-0.57
eMAyc8MERup;IVfSt4  NfR w2J;-88;63;87;8.38
 Hgpwr G7Tn;k4Z 4aoc;35;-36;42;-4.58
BqEqlQUPBa xTJsaAE;8rhRPW3VllYi;82;-87;29;6.72
j  oVLUq;ZDYYTlSrQ  2zJG1ipgk;51;60;-11;0.54
b9;N8sZ 9roe;-32;46;-79;-4.23
xjjcI;f7 sr1;-67;-12;-30;-7.4
eLKj1mXI;VPgnYplQvz;-20;71;10;3.63
EX J; wkGAJdCQm8;-88;-29;-11;-3.04
40XQtfp IZpRuK fRCl;L ;-72;-46;25;1.48
Wk9C;Js 1oaE 0K zCDrT;15;84;-26;6.28
6ZY1 V4 z;7yOyga5 ;100;36;-100;-8.5
vc8z9vfVr8 6Xo0 1wmG;AN gzrVACo ;-47;69;95;-3.13
ARNO v mK7Y  PP;Dg v 9gx0wD;-55;96;-11;6.86
TI A2AjydLMS;PT  GL6;7;32;86;-6.28
KzITPBI9 ypzB;Cb0zsQ m913ydj ;-89;58;-4;-3.88
F;0Y Is;33;28;15;3.55
8jtZIqK 8Y0apA3 ;hFPIc4 Bfhw I2;42;52;12;-1.01
Xp3HnGe23iG2t;8;-83;-36;53;-5.47
Vl q;DJJ;96;-10;37;-1.07
27 k8b 0NXOe  YTiq;c LEG7bBtj ;-64;-40;20;-4.64
 b;M2vh;25;-15;64;-2.91
Fmb k;P  DW b T;20;3;40;8.87
xwYYj x; d5kRQj5ilJck t9TJ ;33;-11;45;-5.76
 O2n;fFOw s2BB6H  eJ5LUCL;-50;80;-48;2.6
Yq  D N;u2VN Dv3NAs 6 9gHB ;-23;-74;-97;2.25
zUZtr d; hkx7WFiolf   ;-54;26;-10;1.93
Em ZF ;hX 9 d o;59;-16;1;6.67
om qYNkvViLK5fx;b9mV  lg FzqQ9a0H;-94;-9;72;1.57
 zU me5y;kr91TQCMVz551;44;82;87;6.72
X ;jW5;-25;-88;-97;3.76
Rx1 V TGCFG3 5r04;  RWa ;38;54;-59;-9.63
mOEI;RL Xs H Bn;-36;45;74;5.89
 ;CR49KCp;-29;48;32;9.76
f  ;vs8CcHApN6c ;-37;20;15;-2.3
Pc  7DHxEe; GGnT 7a9x  a t;-7;57;-33;0.25
  ;UwXw f8 qiJ5PAob;93;-24;86;-6.04
 opI 3 BNka heLq8ina;OG1HerJ  myH M;-7;-97;31;-7.8
yH KDZqWBDY0;WY;-55;44;-4;-4.51
ZQ; HWFL4li b9  Y;26;-100;7;-9.12
 SCO3;sN;12;-50;-98;8.8
 i R B;wn vp7Qn  g  ;-35;-92;63;-7.8
 H Zvbh td7s PREG ; hPmObcwGM3I LWmkHU ;56;-99;-69;-6.81
 A80fMcx a8EmyvPg;my wWwEG ;-95;-33;47;-0.51
wV m; y D ;57;37;90;-4.22
 FabIBz WkE  I  ;Wgr OhYc 9FaqW3apu8D;-94;-8;-83;-0.36
  z8qiz ;0J7uZhg zd;-70;59;83;-5.69
YPR2TIRHyRi  ZK;HkBv;4;88;-27;-2.9
2SmlYrKTqG 3WiR C; brFWUJ;-27;-23;37;1.03
 f;o33Th8GW f2 w;75;-4;38;7.48
 cd82Kh;Q  5gVUq5nB3pa GO;86;-82;34;4.14
h  de NYvae;Hc5qao1   3mPe;-92;51;34;-5.87
 Gbrg7K;gQFZ   S7   mm i;37;-82;44;-3.15
Nu W a ugsif0IMr 1Y; 4nWFt YeW 9k;82;-54;0;8.3
krRuC3fB4cVvL;8F a IxwC;-39;-13;-1;-6.64
z xy adz1 E4;9H;29;100;30;-1.78
   T 6vJ EZd1XrV 4w;Got   ;-84;-15;55;-4.04
6wmUbT efg u5fIQjQ2;bb VGy;-74;-15;16;-0.42
bFTv73KfBjW; w 1ZwNBjPQYDwge  oK;-12;6;7;-7.44
o5;U1zOJYXH;57;2;-89;0.68
  2cc1xm 6; cWAoOw;9;45;13;2.32
 pjpekzXO;W 5 l1s xGwN KdKLS;3;-81;76;-8.84
2ZiO  ; c q2;-69;-22;14;-2.87
4 3s;9 D p86 Em 9 JH1;66;-56;60;4.03
Q2 H;PPr   ;34;-87;-45;6.2
8MqqnPbl; mUjJ1V;-60;18;93;3.7
9XdAoY3cTf5s3LleHC; 0 kl z jfRCQVU;96;-27;41;6.23
nd0yEXZ4QP4cwW 5r; DiD IC ;54;73;13;-6.35
W ; d e 0E   0rQ TH;-24;81;22;7.42
PT;5sXLn0 I YvF2Jo;-42;59;61;-6.17
3u 33f ;2iIj NzZrsAWL;98;23;23;6.8
qYrxmab;tVFwj756;-1;-26;54;9.22
    JZ Q 2;SlnZdY3ZOLWNi1;-25;-90;65;9.33
 ;Xj8  Bc Ukr3RNLMTl;8;14;60;-7.38
si r0I ;8    y jP2eQ qTpG;48;-58;-30;-7.44
sGBfuniNIFV3iikQfr7; 0y ;35;-5;-1;8.73
 D hfo2lvy  Xx2xx;UFoxe DfVDCD2gdL;-68;-13;70;2.3
Em j1c; YP d3owbteo ;21;62;-23;8.07
 oBOkzMR nAfJd ; 2   D QI67PDvKe;-46;55;71;-2.35
RM Mn wAe Vl;y K 2bgZ939hGL E Mi ;42;79;-11;-8.85
dq;w8p ;-77;53;-22;-3.65
m k39 pn83 4F5J z;6 J qrFyf78 YW3 i;-45;-63;-35;-6.16
6Ch  V HX;xnLZusYW ;-95;-63;-58;-6.09
1M UZG c;4 q9 L;13;-61;15;-4.05
PZ3f;z9;-92;-75;63;1.65
YNqxA  b10; ApE0 KE  GXK 5;-9;-41;-59;-4.31
Q1CJ  v;W4;-38;-47;-47;6.81
4  s GVA;xzlu CK OG L o;-87;98;-22;-5.9
 O 7jG;1V3 lh8TH Jzn t  QKE;15;-21;70;-0.22
n CY1ErjWorc Mn ;q UFBMFqF;-99;-91;15;-6.43
1k K3 3;Ty1QKXin mbvU2H;69;-81;15;-7.88
 akGP1eVVK ; dqxBR PlT;33;-35;81;-4.91
a mP ;f M SEVcWYrd P9;-25;35;-84;-9.96
SwXPj 31Ql;Q NsXG  Q  N  2L;-25;-100;59;-5.74
